#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species	description
MP00190	MP00190	AT1G47870	PlantTFDB	1.0	AT1G47870	0	None	None	1	None	None	gene is directly annotated
MP00191	MP00191	AT1G49010	PlantTFDB	1.0	AT1G49010	0	None	None	1	None	None	gene is directly annotated
MP00192	MP00192	AT1G49480	PlantTFDB	1.0	AT1G49480	0	None	None	1	None	None	gene is directly annotated
MP00193	MP00193	AT1G49560	PlantTFDB	1.0	AT1G49560	0	None	None	1	None	None	gene is directly annotated
MP00087	MP00087	AT1G49720	PlantTFDB	1.0	AT1G49720	0	None	None	1	None	None	gene is directly annotated
MP00607	MP00607	AT1G49950	PlantTFDB	1.0	AT1G49950	0	None	None	1	None	None	gene is directly annotated
MP00194	MP00194	AT1G50640	PlantTFDB	1.0	AT1G50640	0	None	None	1	None	None	gene is directly annotated
MP00195	MP00195	AT1G51140	PlantTFDB	1.0	AT1G51140	0	None	None	1	None	None	gene is directly annotated
MP00197	MP00197	AT1G51220	PlantTFDB	1.0	AT1G51220	0	None	None	1	None	None	gene is directly annotated
MP00198	MP00198	AT1G51600	PlantTFDB	1.0	AT1G51600	0	None	None	1	None	None	gene is directly annotated
MP00199	MP00199	AT1G51700	PlantTFDB	1.0	AT1G51700	0	None	None	1	None	None	gene is directly annotated
MP00200	MP00200	AT1G52150	PlantTFDB	1.0	AT1G52150	0	None	None	1	None	None	gene is directly annotated
MP00201	MP00201	AT1G52880	PlantTFDB	1.0	AT1G52880	0	None	None	1	None	None	gene is directly annotated
MP00012	MP00012	AT1G52890	PlantTFDB	1.0	AT1G52890	0	None	None	1	None	None	gene is directly annotated
MP00634	MP00634	AT1G53160	PlantTFDB	1.0	AT1G53160	0	None	None	1	None	None	gene is directly annotated
MP00202	MP00202	AT1G53170	PlantTFDB	1.0	AT1G53170	0	None	None	1	None	None	gene is directly annotated
MP00203	MP00203	AT1G53230	PlantTFDB	1.0	AT1G53230	0	None	None	1	None	None	gene is directly annotated
MP00204	MP00204	AT1G53910	PlantTFDB	1.0	AT1G53910	0	None	None	1	None	None	gene is directly annotated
MP00205	MP00205	AT1G54330	PlantTFDB	1.0	AT1G54330	0	None	None	1	None	None	gene is directly annotated
MP00206	MP00206	AT1G55110	PlantTFDB	1.0	AT1G55110	0	None	None	1	None	None	gene is directly annotated
MP00207	MP00207	AT1G59640	PlantTFDB	1.0	AT1G59640	0	None	None	1	None	None	gene is directly annotated
MP00097	MP00097	AT1G59750	PlantTFDB	1.0	AT1G59750	0	None	None	1	None	None	gene is directly annotated
MP00208	MP00208	AT1G60920	PlantTFDB	1.0	AT1G60920	0	None	None	1	None	None	gene is directly annotated
MP00058	MP00058	AT1G61110	PlantTFDB	1.0	AT1G61110	0	None	None	1	None	None	gene is directly annotated
MP00209	MP00209	AT1G62300	PlantTFDB	1.0	AT1G62300	0	None	None	1	None	None	gene is directly annotated
MP00104	MP00104	AT1G63030	PlantTFDB	1.0	AT1G63030	0	None	None	1	None	None	gene is directly annotated
MP00210	MP00210	AT1G64620	PlantTFDB	1.0	AT1G64620	0	None	None	1	None	None	gene is directly annotated
MP00211	MP00211	AT1G65620	PlantTFDB	1.0	AT1G65620	0	None	None	1	None	None	gene is directly annotated
MP00212	MP00212	AT1G65910	PlantTFDB	1.0	AT1G65910	0	None	None	1	None	None	gene is directly annotated
MP00213	MP00213	AT1G66370	PlantTFDB	1.0	AT1G66370	0	None	None	1	None	None	gene is directly annotated
MP00214	MP00214	AT1G66420	PlantTFDB	1.0	AT1G66420	0	None	None	1	None	None	gene is directly annotated
MP00066	MP00066	AT1G66600	PlantTFDB	1.0	AT1G66600	0	None	None	1	None	None	gene is directly annotated
MP00215	MP00215	AT1G67260	PlantTFDB	1.0	AT1G67260	0	None	None	1	None	None	gene is directly annotated
MP00010	MP00010	AT1G67710	PlantTFDB	1.0	AT1G67710	0	None	None	1	None	None	gene is directly annotated
MP00383	MP00383	AT1G68200	PlantTFDB	1.0	AT1G68200	0	None	None	1	None	None	gene is directly annotated
MP00216	MP00216	AT1G68320	PlantTFDB	1.0	AT1G68320	0	None	None	1	None	None	gene is directly annotated
MP00217	MP00217	AT1G68550	PlantTFDB	1.0	AT1G68550	0	None	None	1	None	None	gene is directly annotated
MP00218	MP00218	AT1G68670	PlantTFDB	1.0	AT1G68670	0	None	None	1	None	None	gene is directly annotated
MP00025	MP00025	AT1G68840	PlantTFDB	1.0	AT1G68840	0	None	None	1	None	None	gene is directly annotated
MP00219	MP00219	AT1G69010	PlantTFDB	1.0	AT1G69010	0	None	None	1	None	None	gene is directly annotated
MP00096	MP00096	AT1G69120	PlantTFDB	1.0	AT1G69120	0	None	None	1	None	None	gene is directly annotated
MP00220	MP00220	AT1G69180	PlantTFDB	1.0	AT1G69180	0	None	None	1	None	None	gene is directly annotated
MP00067	MP00067	AT1G69310	PlantTFDB	1.0	AT1G69310	0	None	None	1	None	None	gene is directly annotated
MP00221	MP00221	AT1G69490	PlantTFDB	1.0	AT1G69490	0	None	None	1	None	None	gene is directly annotated
MP00222	MP00222	AT1G69560	PlantTFDB	1.0	AT1G69560	0	None	None	1	None	None	gene is directly annotated
MP00223	MP00223	AT1G69570	PlantTFDB	1.0	AT1G69570	0	None	None	1	None	None	gene is directly annotated
MP00224	MP00224	AT1G69690	PlantTFDB	1.0	AT1G69690	0	None	None	1	None	None	gene is directly annotated
MP00225	MP00225	AT1G69780	PlantTFDB	1.0	AT1G69780	0	None	None	1	None	None	gene is directly annotated
MP00630	MP00630	AT1G70000	PlantTFDB	1.0	AT1G70000	0	None	None	1	None	None	gene is directly annotated
MP00226	MP00226	AT1G70920	PlantTFDB	1.0	AT1G70920	0	None	None	1	None	None	gene is directly annotated
MP00227	MP00227	AT1G71450	PlantTFDB	1.0	AT1G71450	0	None	None	1	None	None	gene is directly annotated
MP00017	MP00017	AT1G71930	PlantTFDB	1.0	AT1G71930	0	None	None	1	None	None	gene is directly annotated
MP00228	MP00228	AT1G72010	PlantTFDB	1.0	AT1G72010	0	None	None	1	None	None	gene is directly annotated
MP00229	MP00229	AT1G72050	PlantTFDB	1.0	AT1G72050	0	None	None	1	None	None	gene is directly annotated
MP00230	MP00230	AT1G72360	PlantTFDB	1.0	AT1G72360	0	None	None	1	None	None	gene is directly annotated
MP00231	MP00231	AT1G72740	PlantTFDB	1.0	AT1G72740	0	None	None	1	None	None	gene is directly annotated
MP00232	MP00232	AT1G73360	PlantTFDB	1.0	AT1G73360	0	None	None	1	None	None	gene is directly annotated
MP00233	MP00233	AT1G73730	PlantTFDB	1.0	AT1G73730	0	None	None	1	None	None	gene is directly annotated
MP00234	MP00234	AT1G74480	PlantTFDB	1.0	AT1G74480	0	None	None	1	None	None	gene is directly annotated
MP00235	MP00235	AT1G74650	PlantTFDB	1.0	AT1G74650	0	None	None	1	None	None	gene is directly annotated
MP00236	MP00236	AT1G74840	PlantTFDB	1.0	AT1G74840	0	None	None	1	None	None	gene is directly annotated
MP00601	MP00601	AT1G74930	PlantTFDB	1.0	AT1G74930	0	None	None	1	None	None	gene is directly annotated
MP00237	MP00237	AT1G75080	PlantTFDB	1.0	AT1G75080	0	None	None	1	None	None	gene is directly annotated
MP00238	MP00238	AT1G75240	PlantTFDB	1.0	AT1G75240	0	None	None	1	None	None	gene is directly annotated
MP00239	MP00239	AT1G75390	PlantTFDB	1.0	AT1G75390	0	None	None	1	None	None	gene is directly annotated
MP00240	MP00240	AT1G75490	PlantTFDB	1.0	AT1G75490	0	None	None	1	None	None	gene is directly annotated
MP00241	MP00241	AT1G76420	PlantTFDB	1.0	AT1G76420	0	None	None	1	None	None	gene is directly annotated
MP00242	MP00242	AT1G76870	PlantTFDB	1.0	AT1G76870	0	None	None	1	None	None	gene is directly annotated
MP00243	MP00243	AT1G76880	PlantTFDB	1.0	AT1G76880	0	None	None	1	None	None	gene is directly annotated
MP00244	MP00244	AT1G76890	PlantTFDB	1.0	AT1G76890	0	None	None	1	None	None	gene is directly annotated
MP00105	MP00105	AT1G77080	PlantTFDB	1.0	AT1G77080	0	None	None	1	None	None	gene is directly annotated
MP00245	MP00245	AT1G77200	PlantTFDB	1.0	AT1G77200	0	None	None	1	None	None	gene is directly annotated
MP00246	MP00246	AT1G77640	PlantTFDB	1.0	AT1G77640	0	None	None	1	None	None	gene is directly annotated
MP00247	MP00247	AT1G77920	PlantTFDB	1.0	AT1G77920	0	None	None	1	None	None	gene is directly annotated
MP00026	MP00026	AT1G78080	PlantTFDB	1.0	AT1G78080	0	None	None	1	None	None	gene is directly annotated
MP00248	MP00248	AT1G78700	PlantTFDB	1.0	AT1G78700	0	None	None	1	None	None	gene is directly annotated
MP00249	MP00249	AT1G79180	PlantTFDB	1.0	AT1G79180	0	None	None	1	None	None	gene is directly annotated
MP00250	MP00250	AT1G79580	PlantTFDB	1.0	AT1G79580	0	None	None	1	None	None	gene is directly annotated
MP00251	MP00251	AT1G80840	PlantTFDB	1.0	AT1G80840	0	None	None	1	None	None	gene is directly annotated
MP00252	MP00252	AT2G01060	PlantTFDB	1.0	AT2G01060	0	None	None	1	None	None	gene is directly annotated
MP00611	MP00611	AT2G01570	PlantTFDB	1.0	AT2G01570	0	None	None	1	None	None	gene is directly annotated
MP00098	MP00098	AT2G01760	PlantTFDB	1.0	AT2G01760	0	None	None	1	None	None	gene is directly annotated
MP00253	MP00253	AT2G01930	PlantTFDB	1.0	AT2G01930	0	None	None	1	None	None	gene is directly annotated
MP00254	MP00254	AT2G01940	PlantTFDB	1.0	AT2G01940	0	None	None	1	None	None	gene is directly annotated
MP00255	MP00255	AT2G02070	PlantTFDB	1.0	AT2G02070	0	None	None	1	None	None	gene is directly annotated
MP00256	MP00256	AT2G02080	PlantTFDB	1.0	AT2G02080	0	None	None	1	None	None	gene is directly annotated
MP00257	MP00257	AT2G02450	PlantTFDB	1.0	AT2G02450	0	None	None	1	None	None	gene is directly annotated
MP00258	MP00258	AT2G02540	PlantTFDB	1.0	AT2G02540	0	None	None	1	None	None	gene is directly annotated
MP00259	MP00259	AT2G02820	PlantTFDB	1.0	AT2G02820	0	None	None	1	None	None	gene is directly annotated
MP00260	MP00260	AT2G03340	PlantTFDB	1.0	AT2G03340	0	None	None	1	None	None	gene is directly annotated
MP00261	MP00261	AT2G03500	PlantTFDB	1.0	AT2G03500	0	None	None	1	None	None	gene is directly annotated
MP00030	MP00030	AT2G03710	PlantTFDB	1.0	AT2G03710	0	None	None	1	None	None	gene is directly annotated
MP00262	MP00262	AT2G04038	PlantTFDB	1.0	AT2G04038	0	None	None	1	None	None	gene is directly annotated
MP00094	MP00094	AT2G04880	PlantTFDB	1.0	AT2G04880	0	None	None	1	None	None	gene is directly annotated
MP00263	MP00263	AT2G06200	PlantTFDB	1.0	AT2G06200	0	None	None	1	None	None	gene is directly annotated
MP00264	MP00264	AT2G15740	PlantTFDB	1.0	AT2G15740	0	None	None	1	None	None	gene is directly annotated
MP00621	MP00621	AT2G17180	PlantTFDB	1.0	AT2G17180	0	None	None	1	None	None	gene is directly annotated
MP00265	MP00265	AT2G17950	PlantTFDB	1.0	AT2G17950	0	None	None	1	None	None	gene is directly annotated
MP00266	MP00266	AT2G18060	PlantTFDB	1.0	AT2G18060	0	None	None	1	None	None	gene is directly annotated
MP00267	MP00267	AT2G18160	PlantTFDB	1.0	AT2G18160	0	None	None	1	None	None	gene is directly annotated
MP00106	MP00106	AT2G18300	PlantTFDB	1.0	AT2G18300	0	None	None	1	None	None	gene is directly annotated
MP00268	MP00268	AT2G18350	PlantTFDB	1.0	AT2G18350	0	None	None	1	None	None	gene is directly annotated
MP00110	MP00110	AT2G18380	PlantTFDB	1.0	AT2G18380	0	None	None	1	None	None	gene is directly annotated
MP00269	MP00269	AT2G20110	PlantTFDB	1.0	AT2G20110	0	None	None	1	None	None	gene is directly annotated
MP00074	MP00074	AT2G20180	PlantTFDB	1.0	AT2G20180	0	None	None	1	None	None	gene is directly annotated
MP00111	MP00111	AT2G20400	PlantTFDB	1.0	AT2G20400	0	None	None	1	None	None	gene is directly annotated
MP00022	MP00022	AT2G20570	PlantTFDB	1.0	AT2G20570	0	None	None	1	None	None	gene is directly annotated
MP00037	MP00037	AT2G21230	PlantTFDB	1.0	AT2G21230	0	None	None	1	None	None	gene is directly annotated
MP00270	MP00270	AT2G21900	PlantTFDB	1.0	AT2G21900	0	None	None	1	None	None	gene is directly annotated
MP00042	MP00042	AT2G22300	PlantTFDB	1.0	AT2G22300	0	None	None	1	None	None	gene is directly annotated
MP00271	MP00271	AT2G22430	PlantTFDB	1.0	AT2G22430	0	None	None	1	None	None	gene is directly annotated
MP00272	MP00272	AT2G22540	PlantTFDB	1.0	AT2G22540	0	None	None	1	None	None	gene is directly annotated
MP00273	MP00273	AT2G22750	PlantTFDB	1.0	AT2G22750	0	None	None	1	None	None	gene is directly annotated
MP00274	MP00274	AT2G23290	PlantTFDB	1.0	AT2G23290	0	None	None	1	None	None	gene is directly annotated
MP00275	MP00275	AT2G23320	PlantTFDB	1.0	AT2G23320	0	None	None	1	None	None	gene is directly annotated
MP00276	MP00276	AT2G23340	PlantTFDB	1.0	AT2G23340	0	None	None	1	None	None	gene is directly annotated
MP00659	MP00659	AT2G24260	PlantTFDB	1.0	AT2G24260	0	None	None	1	None	None	gene is directly annotated
MP00277	MP00277	AT2G24430	PlantTFDB	1.0	AT2G24430	0	None	None	1	None	None	gene is directly annotated
MP00278	MP00278	AT2G24570	PlantTFDB	1.0	AT2G24570	0	None	None	1	None	None	gene is directly annotated
MP00068	MP00068	AT2G25000	PlantTFDB	1.0	AT2G25000	0	None	None	1	None	None	gene is directly annotated
MP00279	MP00279	AT2G26960	PlantTFDB	1.0	AT2G26960	0	None	None	1	None	None	gene is directly annotated
MP00280	MP00280	AT2G27300	PlantTFDB	1.0	AT2G27300	0	None	None	1	None	None	gene is directly annotated
MP00615	MP00615	AT2G28550	PlantTFDB	1.0	AT2G28550	0	None	None	1	None	None	gene is directly annotated
MP00281	MP00281	AT2G28810	PlantTFDB	1.0	AT2G28810	0	None	None	1	None	None	gene is directly annotated
MP00282	MP00282	AT2G30250	PlantTFDB	1.0	AT2G30250	0	None	None	1	None	None	gene is directly annotated
MP00283	MP00283	AT2G30340	PlantTFDB	1.0	AT2G30340	0	None	None	1	None	None	gene is directly annotated
MP00284	MP00284	AT2G30590	PlantTFDB	1.0	AT2G30590	0	None	None	1	None	None	gene is directly annotated
MP00285	MP00285	AT2G31220	PlantTFDB	1.0	AT2G31220	0	None	None	1	None	None	gene is directly annotated
MP00286	MP00286	AT2G31230	PlantTFDB	1.0	AT2G31230	0	None	None	1	None	None	gene is directly annotated
MP00287	MP00287	AT2G32460	PlantTFDB	1.0	AT2G32460	0	None	None	1	None	None	gene is directly annotated
MP00288	MP00288	AT2G33550	PlantTFDB	1.0	AT2G33550	0	None	None	1	None	None	gene is directly annotated
MP00289	MP00289	AT2G33710	PlantTFDB	1.0	AT2G33710	0	None	None	1	None	None	gene is directly annotated
MP00290	MP00290	AT2G33810	PlantTFDB	1.0	AT2G33810	0	None	None	1	None	None	gene is directly annotated
MP00021	MP00021	AT2G33860	PlantTFDB	1.0	AT2G33860	0	None	None	1	None	None	gene is directly annotated
MP00291	MP00291	AT2G35530	PlantTFDB	1.0	AT2G35530	0	None	None	1	None	None	gene is directly annotated
MP00292	MP00292	AT2G35700	PlantTFDB	1.0	AT2G35700	0	None	None	1	None	None	gene is directly annotated
MP00293	MP00293	AT2G36010	PlantTFDB	1.0	AT2G36010	0	None	None	1	None	None	gene is directly annotated
MP00294	MP00294	AT2G36270	PlantTFDB	1.0	AT2G36270	0	None	None	1	None	None	gene is directly annotated
MP00049	MP00049	AT2G36610	PlantTFDB	1.0	AT2G36610	0	None	None	1	None	None	gene is directly annotated
MP00295	MP00295	AT2G37590	PlantTFDB	1.0	AT2G37590	0	None	None	1	None	None	gene is directly annotated
MP00296	MP00296	AT2G38090	PlantTFDB	1.0	AT2G38090	0	None	None	1	None	None	gene is directly annotated
MP00297	MP00297	AT2G38300	PlantTFDB	1.0	AT2G38300	0	None	None	1	None	None	gene is directly annotated
MP00298	MP00298	AT2G38340	PlantTFDB	1.0	AT2G38340	0	None	None	1	None	None	gene is directly annotated
MP00299	MP00299	AT2G38470	PlantTFDB	1.0	AT2G38470	0	None	None	1	None	None	gene is directly annotated
MP00300	MP00300	AT2G38880	PlantTFDB	1.0	AT2G38880	0	None	None	1	None	None	gene is directly annotated
MP00674	MP00674	AT2G40220	PlantTFDB	1.0	AT2G40220	0	None	None	1	None	None	gene is directly annotated
MP00301	MP00301	AT2G40260	PlantTFDB	1.0	AT2G40260	0	None	None	1	None	None	gene is directly annotated
MP00302	MP00302	AT2G40340	PlantTFDB	1.0	AT2G40340	0	None	None	1	None	None	gene is directly annotated
MP00303	MP00303	AT2G40620	PlantTFDB	1.0	AT2G40620	0	None	None	1	None	None	gene is directly annotated
MP00304	MP00304	AT2G40740	PlantTFDB	1.0	AT2G40740	0	None	None	1	None	None	gene is directly annotated
MP00305	MP00305	AT2G41690	PlantTFDB	1.0	AT2G41690	0	None	None	1	None	None	gene is directly annotated
MP00306	MP00306	AT2G41835	PlantTFDB	1.0	AT2G41835	0	None	None	1	None	None	gene is directly annotated
MP00307	MP00307	AT2G42200	PlantTFDB	1.0	AT2G42200	0	None	None	1	None	None	gene is directly annotated
